overlap,k,dim,samples_per_cluster,aspect_r,aspect_mm,radius_mm,min_o_exact,max_o_exact,min_o_lda,max_o_lda,min_o_heuristic,max_o_heuristic,ami_kmeans
9.5e-05,30,10,100,4.809029841649419,6.3505990251832785,1.8604842037193952,5.308679689730589e-05,9.654760954735941e-05,9.288784205652156e-05,9.703828183704744e-05,0.00012924661545410387,0.003203957527951662,0.9662631773689961
9.5e-05,30,10,250,1.903177338622942,4.245247035290088,5.59329106749878,8.560233067012035e-05,9.634908319267055e-05,9.268512674864837e-05,9.713163211966247e-05,0.00011816204114856177,0.0004379381907038127,0.9689406434040295
9.5e-05,30,100,100,5.521952250426511,8.239174140415184,8.229478522423516,4.940575407075265e-05,9.670994923127729e-05,9.264407689490994e-05,9.70307572878415e-05,0.00035260977700524165,0.0030715161772894017,0.5540944946832936
9.5e-05,30,100,250,3.030561026902688,1.1992522987268823,1.4222288178199745,8.87372470401715e-05,9.692841110564565e-05,9.286894545601498e-05,9.706268846954025e-05,0.0001447222527513059,0.0003244995397999606,0.9509177620258973
9.5e-05,30,500,100,9.197485537286818,4.7640659919377715,7.6656777369010385,4.714478697231961e-05,9.597564781116397e-05,9.270570441866077e-05,9.657973368337736e-05,0.0006559688742568959,0.010042661195862168,0.3191214887744191
9.5e-05,30,500,250,1.6698547249132694,3.095116146668401,5.4916887805359265,9.14505418792011e-05,9.629852512182957e-05,9.276674562208598e-05,9.662255985798396e-05,0.00011061849805704682,0.0001320699632754163,0.597908830396426
0.00011464530086073624,5,10,100,3.0457254786061574,4.661731375857497,6.92483301099988,0.0001066181976627778,0.00011463139011502754,0.00011240925149724745,0.00011726027197744848,0.0012289942782996999,0.00300301295290728,0.7776618038839578
0.00011464530086073624,5,10,250,4.453314211131242,5.912146018086492,6.293941155689014,9.504839327023618e-05,0.00011125798634403772,0.00011232665408988929,0.00011739999625892672,0.0007988361735762339,0.0073980336837520255,0.7300687424510034
0.00011464530086073624,5,100,100,7.62152216308585,5.5149330607863725,9.851826512605342,0.0001013489596231043,0.00011476714518332543,0.00011241023908992176,0.00011667421347394402,0.005867009642044563,0.0578413486611038,0.40333776597407794
0.00011464530086073624,5,100,250,1.5149252605254673,5.733854398771332,3.4695335503856777,0.00011120076519510746,0.00011605478252474377,0.00011309328232722571,0.00011739968832014114,0.00015568347068062316,0.0001921457810492022,0.9832484212277207
0.00011464530086073624,5,500,100,3.449520882435376,8.768738805277728,9.19407313241613,0.00010792011588711681,0.00011506674526939875,0.00011260219423014917,0.00011685423530272132,0.0010653532372233432,0.008252355876268158,0.2378197760675423
0.00011464530086073624,5,500,250,9.358350686478909,6.318929365382616,3.7215121830120523,0.00011198965440950559,0.00011428801750645867,0.00011392161407131063,0.00011717960529633586,0.00810096221012091,0.03620711247207553,0.3200164239931934
0.00011464530086073624,10,10,100,1.9166399803229828,1.8503967835130677,7.999239249393958,0.00010406544542718166,0.00011601954373174905,0.0001119650686098872,0.00011718721533249266,0.0001276947672690376,0.00022217357443099495,0.9797403595334282
0.00011464530086073624,10,10,250,7.9398165694922955,4.919663300776861,5.395777266526269,8.425558871683059e-05,0.00011270752383785165,0.00011189942339151493,0.00011661327912215746,0.0011098452014661753,0.0371602763972021,0.7719651838967712
0.00011464530086073624,10,100,100,3.4967798541879915,5.874488316861142,6.014857329375368,9.984150859532193e-05,0.000115518452880492,0.00011234211662980442,0.00011721082166826768,0.0007318069122297377,0.003865870771415869,0.8110097865893237
